X,Y,Z,Buffer,hip_time,GFlops,num_iter,bandwidth,max error
7,1,1,1024,2.85622,329.803,1000,700.225,3
49,1,1,1024,2.31348,814.351,1000,864.499,1.375
343,1,1,1024,2.23938,1261.94,1000,893.103,2.45312
2401,1,1,1023.99,8.04667,468.258,1000,248.547,0.443353
16807,1,1,1023.77,8.07433,583.192,1000,247.642,1.61535
117649,1,1,1023.25,8.3348,677.62,1000,239.783,2.63961
823543,1,1,1017.87,16.6313,394.104,1000,119.535,0.841291
5764801,1,1,967.603,16.0047,444.925,1000,118.081,2.28402
40353607,1,1,615.747,13.7611,370.459,1000,87.3937,1.85241
1024,1,1,1024,2.34447,1431.21,1000,853.07,4.7206e-13
1024,1,1,1024,2.35451,1425.11,1000,849.434,4.7206e-13
243,1,1,1024,2.24112,1186.51,1000,892.409,2.03125
2187,1,1,1023.99,3.14752,1182.75,1000,635.415,0.132811
